date,CUUR0000SA0
2004-01,185.2
2004-02,186.2
2004-03,187.4
2004-04,188.0
2004-05,189.1
2004-06,189.7
2004-07,189.4
2004-08,189.5
2004-09,189.9
2004-10,190.9
2004-11,191.0
2004-12,190.3
2005-01,190.7
2005-02,191.8
2005-03,193.3
2005-04,194.6
2005-05,194.4
2005-06,194.5
2005-07,195.4
2005-08,196.4
2005-09,198.8
2005-10,199.2
2005-11,197.6
2005-12,196.8
2006-01,198.3
2006-02,198.7
2006-03,199.8
2006-04,201.5
2006-05,202.5
2006-06,202.9
2006-07,203.5
2006-08,203.9
2006-09,202.9
2006-10,201.8
2006-11,201.5
2006-12,201.8
2007-01,202.416
2007-02,203.499
2007-03,205.352
2007-04,206.686
2007-05,207.949
2007-06,208.352
2007-07,208.299
2007-08,207.917
2007-09,208.49
2007-10,208.936
2007-11,210.177
2007-12,210.036
2008-01,211.08
2008-02,211.693
2008-03,213.528
2008-04,214.823
2008-05,216.632
2008-06,218.815
2008-07,219.964
2008-08,219.086
2008-09,218.783
2008-10,216.573
2008-11,212.425
2008-12,210.228
2009-01,211.143
2009-02,212.193
2009-03,212.709
2009-04,213.24
2009-05,213.856
2009-06,215.693
2009-07,215.351
2009-08,215.834
2009-09,215.969
2009-10,216.177
2009-11,216.33
2009-12,215.949
2010-01,216.687
2010-02,216.741
2010-03,217.631
2010-04,218.009
2010-05,218.178
2010-06,217.965
2010-07,218.011
2010-08,218.312
2010-09,218.439
2010-10,218.711
2010-11,218.803
2010-12,219.179
2011-01,220.223
2011-02,221.309
2011-03,223.467
2011-04,224.906
2011-05,225.964
2011-06,225.722
2011-07,225.922
2011-08,226.545
2011-09,226.889
2011-10,226.421
2011-11,226.23
2011-12,225.672
2012-01,226.665
2012-02,227.663
2012-03,229.392
2012-04,230.085
2012-05,229.815
2012-06,229.478
2012-07,229.104
2012-08,230.379
2012-09,231.407
2012-10,231.317
2012-11,230.221
2012-12,229.601
2013-01,230.28
2013-02,232.166
2013-03,232.773
2013-04,232.531
2013-05,232.945
2013-06,233.504
2013-07,233.596
2013-08,233.877
2013-09,234.149
2013-10,233.546
2013-11,233.069
2013-12,233.049
