date,participants,inflation,federal,market,economic,isPartial,State
2011-01-01,0,3,93,47,7,False,AL
2011-02-01,0,2,93,46,8,False,AL
2011-03-01,0,2,83,54,6,False,AL
2011-04-01,0,2,87,48,7,False,AL
2011-05-01,0,3,82,53,5,False,AL
2011-06-01,0,2,100,48,5,False,AL
2011-07-01,1,1,84,59,6,False,AL
2011-08-01,0,1,89,61,6,False,AL
2011-09-01,0,3,79,59,8,False,AL
2011-10-01,0,1,83,58,7,False,AL
2011-11-01,0,2,81,53,5,False,AL
2011-12-01,0,2,82,60,6,False,AL
2012-01-01,0,1,87,57,7,False,AL
2012-02-01,1,1,85,55,7,False,AL
2012-03-01,1,1,78,62,7,False,AL
2012-04-01,0,3,85,51,10,False,AL
2012-05-01,0,2,79,46,5,False,AL
2012-06-01,0,1,78,59,3,False,AL
2012-07-01,1,2,77,54,4,False,AL
2012-08-01,1,2,70,46,5,False,AL
2012-09-01,0,3,66,57,10,False,AL
2012-10-01,0,2,72,42,9,False,AL
2012-11-01,0,2,70,56,6,False,AL
2012-12-01,1,1,77,53,5,False,AL
2013-01-01,0,1,76,44,6,False,AL
2013-02-01,1,2,91,49,8,False,AL
2013-03-01,0,1,79,58,6,False,AL
2013-04-01,0,3,85,48,7,False,AL
2013-05-01,0,1,77,45,5,False,AL
2013-06-01,0,1,74,54,4,False,AL
2013-07-01,0,2,74,57,4,False,AL
2013-08-01,0,2,81,48,4,False,AL
2013-09-01,0,3,72,46,5,False,AL
2013-10-01,0,2,74,55,7,False,AL
2013-11-01,1,2,68,49,8,False,AL
2013-12-01,0,2,74,43,7,False,AL
2014-01-01,0,1,72,45,6,False,AL
2014-02-01,1,2,75,56,7,False,AL
2014-03-01,0,3,71,52,6,False,AL
2014-04-01,1,3,72,48,8,False,AL
2014-05-01,1,2,65,55,6,False,AL
2014-06-01,0,2,72,56,4,False,AL
2014-07-01,1,1,63,47,3,False,AL
2014-08-01,1,1,68,50,4,False,AL
2014-09-01,0,2,62,46,11,False,AL
2014-10-01,1,3,69,57,8,False,AL
2014-11-01,1,2,61,55,6,False,AL
2014-12-01,0,3,72,57,5,False,AL
2015-01-01,1,2,75,55,7,False,AL
2015-02-01,0,3,71,49,7,False,AL
2015-03-01,1,3,76,65,9,False,AL
2015-04-01,1,2,69,56,11,False,AL
2015-05-01,0,3,63,50,4,False,AL
2015-06-01,1,1,70,60,3,False,AL
2015-07-01,0,2,70,67,4,False,AL
2015-08-01,1,1,64,67,6,False,AL
2015-09-01,0,2,63,50,8,False,AL
2015-10-01,1,3,69,55,7,False,AL
2015-11-01,1,2,68,49,9,False,AL
2015-12-01,1,2,60,54,6,False,AL
2016-01-01,0,1,61,52,7,False,AL
2016-02-01,1,2,65,55,7,False,AL
2016-03-01,1,2,61,56,7,False,AL
2016-04-01,1,3,60,61,8,False,AL
2016-05-01,0,2,57,51,6,False,AL
2016-06-01,1,2,60,63,4,False,AL
2016-07-01,0,2,54,55,3,False,AL
2016-08-01,0,1,55,51,5,False,AL
2016-09-01,0,2,56,55,6,False,AL
2016-10-01,0,3,59,53,6,False,AL
2016-11-01,1,2,55,58,5,False,AL
2016-12-01,0,2,56,51,4,False,AL
2017-01-01,0,2,59,45,6,False,AL
2017-02-01,1,2,67,56,8,False,AL
2017-03-01,1,2,61,53,7,False,AL
2017-04-01,0,1,59,54,6,False,AL
2017-05-01,0,1,57,56,6,False,AL
2017-06-01,1,1,52,61,4,False,AL
2017-07-01,1,1,56,54,2,False,AL
2017-08-01,0,1,57,51,4,False,AL
2017-09-01,0,2,53,54,6,False,AL
2017-10-01,1,2,58,53,6,False,AL
2017-11-01,0,3,56,56,6,False,AL
2017-12-01,0,2,58,53,4,False,AL
2018-01-01,0,2,56,56,5,False,AL
2018-02-01,0,3,65,64,8,False,AL
2018-03-01,0,2,61,65,6,False,AL
2018-04-01,1,2,63,60,7,False,AL
2018-05-01,0,2,51,58,4,False,AL
2018-06-01,0,2,57,60,3,False,AL
2018-07-01,0,1,59,62,3,False,AL
2018-08-01,0,1,56,56,6,False,AL
2018-09-01,0,2,53,57,6,False,AL
2018-10-01,0,2,63,59,7,False,AL
2018-11-01,1,2,58,64,5,False,AL
2018-12-01,1,1,62,62,4,False,AL
2019-01-01,1,2,64,56,8,False,AL
2011-01-01,0,0,100,19,6,False,AK
2011-02-01,1,3,91,25,8,False,AK
2011-03-01,1,2,65,29,5,False,AK
2011-04-01,0,3,80,23,8,False,AK
2011-05-01,0,1,67,29,6,False,AK
2011-06-01,1,1,80,31,3,False,AK
2011-07-01,0,2,82,35,2,False,AK
2011-08-01,0,3,83,46,6,False,AK
2011-09-01,0,0,85,30,8,False,AK
2011-10-01,0,3,71,21,5,False,AK
2011-11-01,0,1,72,23,5,False,AK
2011-12-01,1,1,72,22,8,False,AK
2012-01-01,0,1,79,32,8,False,AK
2012-02-01,1,1,69,27,6,False,AK
2012-03-01,0,2,51,43,5,False,AK
2012-04-01,0,2,66,28,6,False,AK
2012-05-01,1,1,55,31,6,False,AK
2012-06-01,0,2,62,28,5,False,AK
2012-07-01,1,1,64,30,4,False,AK
2012-08-01,0,1,64,39,3,False,AK
2012-09-01,1,1,64,37,8,False,AK
2012-10-01,0,1,71,18,4,False,AK
2012-11-01,1,1,49,20,8,False,AK
2012-12-01,0,3,61,25,8,False,AK
2013-01-01,0,1,68,23,5,False,AK
2013-02-01,0,4,55,22,9,False,AK
2013-03-01,2,2,58,25,6,False,AK
2013-04-01,1,1,60,25,12,False,AK
2013-05-01,0,2,60,29,6,False,AK
2013-06-01,0,2,44,40,4,False,AK
2013-07-01,1,3,49,41,5,False,AK
2013-08-01,0,0,69,34,4,False,AK
2013-09-01,0,0,52,28,8,False,AK
2013-10-01,0,1,56,28,6,False,AK
2013-11-01,0,1,50,18,5,False,AK
2013-12-01,0,2,47,21,6,False,AK
2014-01-01,0,3,42,27,7,False,AK
2014-02-01,0,1,58,26,5,False,AK
2014-03-01,0,2,48,24,4,False,AK
2014-04-01,1,3,62,25,6,False,AK
2014-05-01,0,2,55,30,4,False,AK
2014-06-01,1,2,50,28,3,False,AK
2014-07-01,0,1,46,32,4,False,AK
2014-08-01,0,3,42,34,3,False,AK
2014-09-01,1,3,52,29,4,False,AK
2014-10-01,1,2,59,30,5,False,AK
2014-11-01,0,1,52,31,5,False,AK
2014-12-01,0,4,46,23,3,False,AK
2015-01-01,0,1,51,26,6,False,AK
2015-02-01,0,2,46,24,3,False,AK
2015-03-01,1,1,51,20,3,False,AK
2015-04-01,0,1,49,24,2,False,AK
2015-05-01,0,1,43,26,6,False,AK
2015-06-01,0,2,54,25,3,False,AK
2015-07-01,1,1,44,40,5,False,AK
2015-08-01,1,2,57,43,5,False,AK
2015-09-01,1,2,44,28,5,False,AK
2015-10-01,1,2,48,24,4,False,AK
2015-11-01,0,3,43,26,5,False,AK
2015-12-01,0,5,41,27,6,False,AK
2016-01-01,1,1,51,31,9,False,AK
2016-02-01,0,1,47,31,7,False,AK
2016-03-01,0,2,51,34,8,False,AK
2016-04-01,1,3,46,24,5,False,AK
2016-05-01,0,2,47,33,7,False,AK
2016-06-01,0,1,56,40,5,False,AK
2016-07-01,1,3,38,26,4,False,AK
2016-08-01,1,2,33,27,4,False,AK
2016-09-01,1,1,52,31,6,False,AK
2016-10-01,0,2,45,27,4,False,AK
2016-11-01,0,2,42,39,5,False,AK
2016-12-01,1,2,42,28,6,False,AK
2017-01-01,2,1,40,21,4,False,AK
2017-02-01,1,1,58,28,2,False,AK
2017-03-01,0,2,35,28,3,False,AK
2017-04-01,1,3,40,31,4,False,AK
2017-05-01,1,3,44,32,6,False,AK
2017-06-01,0,1,45,35,2,False,AK
2017-07-01,1,2,42,37,4,False,AK
2017-08-01,0,1,35,31,2,False,AK
2017-09-01,1,1,45,28,5,False,AK
2017-10-01,1,2,39,29,6,False,AK
2017-11-01,0,0,44,32,8,False,AK
2017-12-01,0,3,42,35,3,False,AK
2018-01-01,0,4,48,38,3,False,AK
2018-02-01,1,4,45,40,4,False,AK
2018-03-01,1,3,48,31,7,False,AK
2018-04-01,1,1,45,36,7,False,AK
2018-05-01,0,3,36,43,4,False,AK
