date,participants,policy,isPartial,State
2011-01-01,1,78,False,AL
2011-02-01,1,93,False,AL
2011-03-01,1,74,False,AL
2011-04-01,1,98,False,AL
2011-05-01,0,84,False,AL
2011-06-01,1,81,False,AL
2011-07-01,3,66,False,AL
2011-08-01,1,67,False,AL
2011-09-01,2,73,False,AL
2011-10-01,1,70,False,AL
2011-11-01,2,94,False,AL
2011-12-01,1,57,False,AL
2012-01-01,2,58,False,AL
2012-02-01,4,76,False,AL
2012-03-01,4,90,False,AL
2012-04-01,2,88,False,AL
2012-05-01,1,68,False,AL
2012-06-01,0,75,False,AL
2012-07-01,4,61,False,AL
2012-08-01,3,86,False,AL
2012-09-01,0,74,False,AL
2012-10-01,0,91,False,AL
2012-11-01,1,83,False,AL
2012-12-01,4,61,False,AL
2013-01-01,1,77,False,AL
2013-02-01,4,72,False,AL
2013-03-01,1,91,False,AL
2013-04-01,1,95,False,AL
2013-05-01,1,66,False,AL
2013-06-01,2,62,False,AL
2013-07-01,0,58,False,AL
2013-08-01,1,56,False,AL
2013-09-01,1,56,False,AL
2013-10-01,2,88,False,AL
2013-11-01,3,76,False,AL
2013-12-01,2,79,False,AL
2014-01-01,1,61,False,AL
2014-02-01,3,76,False,AL
2014-03-01,1,89,False,AL
2014-04-01,4,76,False,AL
2014-05-01,3,67,False,AL
2014-06-01,2,73,False,AL
2014-07-01,3,70,False,AL
2014-08-01,3,69,False,AL
2014-09-01,0,77,False,AL
2014-10-01,3,91,False,AL
2014-11-01,3,93,False,AL
2014-12-01,0,77,False,AL
2015-01-01,4,73,False,AL
2015-02-01,2,86,False,AL
2015-03-01,4,92,False,AL
2015-04-01,3,81,False,AL
2015-05-01,1,78,False,AL
2015-06-01,4,90,False,AL
2015-07-01,1,67,False,AL
2015-08-01,3,80,False,AL
2015-09-01,2,91,False,AL
2015-10-01,5,71,False,AL
2015-11-01,3,89,False,AL
2015-12-01,3,75,False,AL
2016-01-01,2,56,False,AL
2016-02-01,5,80,False,AL
2016-03-01,4,76,False,AL
2016-04-01,4,100,False,AL
2016-05-01,2,68,False,AL
2016-06-01,4,59,False,AL
2016-07-01,2,60,False,AL
2016-08-01,1,84,False,AL
2016-09-01,2,68,False,AL
2016-10-01,2,82,False,AL
2016-11-01,4,73,False,AL
2016-12-01,1,72,False,AL
2017-01-01,1,77,False,AL
2017-02-01,3,85,False,AL
2017-03-01,5,76,False,AL
2017-04-01,2,86,False,AL
2017-05-01,2,85,False,AL
2017-06-01,3,67,False,AL
2017-07-01,4,64,False,AL
2017-08-01,2,67,False,AL
2017-09-01,2,79,False,AL
2017-10-01,3,74,False,AL
2017-11-01,2,76,False,AL
2017-12-01,0,79,False,AL
2018-01-01,2,69,False,AL
2018-02-01,2,64,False,AL
2018-03-01,1,80,False,AL
2018-04-01,4,83,False,AL
2018-05-01,1,73,False,AL
2018-06-01,1,78,False,AL
2018-07-01,1,70,False,AL
2018-08-01,2,77,False,AL
2018-09-01,2,81,False,AL
2018-10-01,1,88,False,AL
2018-11-01,3,83,False,AL
2018-12-01,3,79,False,AL
2019-01-01,4,75,False,AL
