date,coursera,isPartial,State
2015-01-04,32,False,AL
2015-01-11,0,False,AL
2015-01-18,0,False,AL
2015-01-25,31,False,AL
2015-02-01,30,False,AL
2015-02-08,0,False,AL
2015-02-15,0,False,AL
2015-02-22,61,False,AL
2015-03-01,31,False,AL
2015-03-08,31,False,AL
2015-03-15,0,False,AL
2015-03-22,38,False,AL
2015-03-29,35,False,AL
2015-04-05,0,False,AL
2015-04-12,0,False,AL
2015-04-19,33,False,AL
2015-04-26,100,False,AL
2015-05-03,32,False,AL
2015-05-10,36,False,AL
2015-05-17,75,False,AL
2015-05-24,0,False,AL
2015-05-31,0,False,AL
2015-06-07,37,False,AL
2015-06-14,0,False,AL
2015-06-21,0,False,AL
2015-06-28,35,False,AL
2015-07-05,0,False,AL
2015-07-12,33,False,AL
2015-07-19,0,False,AL
2015-07-26,0,False,AL
2015-08-02,33,False,AL
2015-08-09,0,False,AL
2015-08-16,60,False,AL
2015-08-23,0,False,AL
2015-08-30,29,False,AL
2015-09-06,60,False,AL
2015-09-13,29,False,AL
2015-09-20,28,False,AL
2015-09-27,28,False,AL
2015-10-04,86,False,AL
2015-10-11,29,False,AL
2015-10-18,0,False,AL
2015-10-25,29,False,AL
2015-11-01,28,False,AL
2015-11-08,0,False,AL
2015-11-15,0,False,AL
2015-11-22,32,False,AL
2015-11-29,0,False,AL
2015-12-06,28,False,AL
2015-12-13,29,False,AL
2015-12-20,0,False,AL
2015-12-27,57,False,AL
2016-01-03,0,False,AL
2016-01-10,0,False,AL
2016-01-17,19,False,AL
2016-01-24,0,False,AL
2016-01-31,38,False,AL
2016-02-07,37,False,AL
2016-02-14,19,False,AL
2016-02-21,0,False,AL
2016-02-28,18,False,AL
2016-03-06,0,False,AL
2016-03-13,0,False,AL
2016-03-20,38,False,AL
2016-03-27,19,False,AL
2016-04-03,0,False,AL
2016-04-10,19,False,AL
2016-04-17,0,False,AL
2016-04-24,0,False,AL
2016-05-01,39,False,AL
2016-05-08,40,False,AL
2016-05-15,0,False,AL
2016-05-22,21,False,AL
2016-05-29,40,False,AL
2016-06-05,40,False,AL
2016-06-12,0,False,AL
2016-06-19,20,False,AL
2016-06-26,0,False,AL
2016-07-03,0,False,AL
2016-07-10,0,False,AL
2016-07-17,20,False,AL
2016-07-24,0,False,AL
2016-07-31,61,False,AL
2016-08-07,0,False,AL
2016-08-14,0,False,AL
2016-08-21,0,False,AL
2016-08-28,0,False,AL
2016-09-04,37,False,AL
2016-09-11,0,False,AL
2016-09-18,18,False,AL
2016-09-25,0,False,AL
2016-10-02,0,False,AL
2016-10-09,19,False,AL
2016-10-16,0,False,AL
2016-10-23,0,False,AL
2016-10-30,0,False,AL
2016-11-06,0,False,AL
2016-11-13,18,False,AL
2016-11-20,19,False,AL
2016-11-27,50,False,AL
2016-12-04,0,False,AL
2016-12-11,0,False,AL
2016-12-18,20,False,AL
2016-12-25,0,False,AL
2017-01-01,53,False,AL
2017-01-08,17,False,AL
2017-01-15,17,False,AL
2017-01-22,0,False,AL
2017-01-29,16,False,AL
2017-02-05,0,False,AL
2017-02-12,0,False,AL
2017-02-19,16,False,AL
2017-02-26,0,False,AL
2017-03-05,0,False,AL
2017-03-12,0,False,AL
2017-03-19,0,False,AL
2017-03-26,0,False,AL
2017-04-02,33,False,AL
2017-04-09,17,False,AL
2017-04-16,0,False,AL
2017-04-23,34,False,AL
2017-04-30,33,False,AL
2017-05-07,17,False,AL
2017-05-14,0,False,AL
2017-05-21,37,False,AL
2017-05-28,0,False,AL
2017-06-04,0,False,AL
2017-06-11,0,False,AL
2017-06-18,50,False,AL
2017-06-25,18,False,AL
2017-07-02,19,False,AL
2017-07-09,0,False,AL
2017-07-16,18,False,AL
2017-07-23,0,False,AL
2017-07-30,18,False,AL
2017-08-06,0,False,AL
2017-08-13,0,False,AL
2017-08-20,0,False,AL
2017-08-27,0,False,AL
2017-09-03,0,False,AL
2017-09-10,0,False,AL
2017-09-17,16,False,AL
2017-09-24,0,False,AL
2017-10-01,0,False,AL
2017-10-08,0,False,AL
2017-10-15,0,False,AL
