date,ebay,State
2015-01-04,84,AL
2015-01-11,84,AL
2015-01-18,87,AL
2015-01-25,92,AL
2015-02-01,89,AL
2015-02-08,91,AL
2015-02-15,75,AL
2015-02-22,86,AL
2015-03-01,93,AL
2015-03-08,93,AL
2015-03-15,86,AL
2015-03-22,100,AL
2015-03-29,76,AL
2015-04-05,86,AL
2015-04-12,89,AL
2015-04-19,92,AL
2015-04-26,78,AL
2015-05-03,81,AL
2015-05-10,85,AL
2015-05-17,84,AL
2015-05-24,90,AL
2015-05-31,90,AL
2015-06-07,86,AL
2015-06-14,85,AL
2015-06-21,96,AL
2015-06-28,88,AL
2015-07-05,92,AL
2015-07-12,97,AL
2015-07-19,95,AL
2015-07-26,82,AL
2015-08-02,86,AL
2015-08-09,81,AL
2015-08-16,88,AL
2015-08-23,81,AL
2015-08-30,80,AL
2015-09-06,85,AL
2015-09-13,68,AL
2015-09-20,73,AL
2015-09-27,78,AL
2015-10-04,73,AL
2015-10-11,77,AL
2015-10-18,74,AL
2015-10-25,79,AL
2015-11-01,86,AL
2015-11-08,91,AL
2015-11-15,78,AL
2015-11-22,87,AL
2015-11-29,87,AL
2015-12-06,94,AL
2015-12-13,87,AL
2015-12-20,90,AL
2015-12-27,87,AL
2016-01-03,73,AL
2016-01-10,67,AL
2016-01-17,69,AL
2016-01-24,71,AL
2016-01-31,72,AL
2016-02-07,70,AL
2016-02-14,74,AL
2016-02-21,69,AL
2016-02-28,68,AL
2016-03-06,73,AL
2016-03-13,76,AL
2016-03-20,70,AL
2016-03-27,71,AL
2016-04-03,62,AL
2016-04-10,59,AL
2016-04-17,62,AL
2016-04-24,59,AL
2016-05-01,57,AL
2016-05-08,71,AL
2016-05-15,64,AL
2016-05-22,61,AL
2016-05-29,77,AL
2016-06-05,73,AL
2016-06-12,68,AL
2016-06-19,57,AL
2016-06-26,62,AL
2016-07-03,69,AL
2016-07-10,63,AL
2016-07-17,62,AL
2016-07-24,70,AL
2016-07-31,67,AL
2016-08-07,61,AL
2016-08-14,58,AL
2016-08-21,62,AL
2016-08-28,63,AL
2016-09-04,60,AL
2016-09-11,51,AL
2016-09-18,57,AL
2016-09-25,58,AL
2016-10-02,56,AL
2016-10-09,55,AL
2016-10-16,53,AL
2016-10-23,54,AL
2016-10-30,60,AL
2016-11-06,54,AL
2016-11-13,61,AL
2016-11-20,73,AL
2016-11-27,65,AL
