date,harry potter,isPartial,State
2015-01-04,28,False,AL
2015-01-11,24,False,AL
2015-01-18,39,False,AL
2015-01-25,19,False,AL
2015-02-01,25,False,AL
2015-02-08,17,False,AL
2015-02-15,22,False,AL
2015-02-22,36,False,AL
2015-03-01,31,False,AL
2015-03-08,31,False,AL
2015-03-15,29,False,AL
2015-03-22,34,False,AL
2015-03-29,27,False,AL
2015-04-05,15,False,AL
2015-04-12,28,False,AL
2015-04-19,32,False,AL
2015-04-26,30,False,AL
2015-05-03,32,False,AL
2015-05-10,20,False,AL
2015-05-17,15,False,AL
2015-05-24,30,False,AL
2015-05-31,44,False,AL
2015-06-07,35,False,AL
2015-06-14,33,False,AL
2015-06-21,27,False,AL
2015-06-28,19,False,AL
2015-07-05,26,False,AL
2015-07-12,22,False,AL
2015-07-19,37,False,AL
2015-07-26,39,False,AL
2015-08-02,30,False,AL
2015-08-09,25,False,AL
2015-08-16,32,False,AL
2015-08-23,21,False,AL
2015-08-30,21,False,AL
2015-09-06,15,False,AL
2015-09-13,27,False,AL
2015-09-20,19,False,AL
2015-09-27,25,False,AL
2015-10-04,29,False,AL
2015-10-11,33,False,AL
2015-10-18,47,False,AL
2015-10-25,39,False,AL
2015-11-01,32,False,AL
2015-11-08,25,False,AL
2015-11-15,26,False,AL
2015-11-22,27,False,AL
2015-11-29,22,False,AL
2015-12-06,32,False,AL
2015-12-13,49,False,AL
2015-12-20,49,False,AL
2015-12-27,58,False,AL
2016-01-03,39,False,AL
2016-01-10,39,False,AL
2016-01-17,44,False,AL
2016-01-24,25,False,AL
2016-01-31,30,False,AL
2016-02-07,27,False,AL
2016-02-14,36,False,AL
2016-02-21,30,False,AL
2016-02-28,37,False,AL
2016-03-06,35,False,AL
2016-03-13,22,False,AL
2016-03-20,36,False,AL
2016-03-27,25,False,AL
2016-04-03,33,False,AL
2016-04-10,29,False,AL
2016-04-17,26,False,AL
2016-04-24,34,False,AL
2016-05-01,37,False,AL
2016-05-08,31,False,AL
2016-05-15,26,False,AL
2016-05-22,32,False,AL
2016-05-29,38,False,AL
2016-06-05,38,False,AL
2016-06-12,29,False,AL
