date,indeed,isPartial,State
2015-01-04,43,False,AL
2015-01-11,54,False,AL
2015-01-18,58,False,AL
2015-01-25,42,False,AL
2015-02-01,40,False,AL
2015-02-08,35,False,AL
2015-02-15,50,False,AL
2015-02-22,41,False,AL
2015-03-01,49,False,AL
2015-03-08,54,False,AL
2015-03-15,52,False,AL
2015-03-22,47,False,AL
2015-03-29,53,False,AL
2015-04-05,55,False,AL
2015-04-12,53,False,AL
2015-04-19,56,False,AL
2015-04-26,52,False,AL
2015-05-03,57,False,AL
2015-05-10,48,False,AL
2015-05-17,60,False,AL
2015-05-24,75,False,AL
2015-05-31,70,False,AL
2015-06-07,51,False,AL
2015-06-14,60,False,AL
2015-06-21,61,False,AL
2015-06-28,39,False,AL
2015-07-05,47,False,AL
2015-07-12,42,False,AL
2015-07-19,40,False,AL
2015-07-26,51,False,AL
2015-08-02,69,False,AL
2015-08-09,62,False,AL
2015-08-16,53,False,AL
2015-08-23,37,False,AL
2015-08-30,50,False,AL
2015-09-06,43,False,AL
2015-09-13,55,False,AL
2015-09-20,39,False,AL
2015-09-27,49,False,AL
2015-10-04,45,False,AL
2015-10-11,41,False,AL
2015-10-18,42,False,AL
2015-10-25,65,False,AL
2015-11-01,51,False,AL
2015-11-08,51,False,AL
2015-11-15,37,False,AL
2015-11-22,38,False,AL
2015-11-29,53,False,AL
2015-12-06,41,False,AL
2015-12-13,34,False,AL
2015-12-20,30,False,AL
2015-12-27,48,False,AL
2016-01-03,54,False,AL
2016-01-10,53,False,AL
2016-01-17,49,False,AL
2016-01-24,64,False,AL
2016-01-31,51,False,AL
2016-02-07,40,False,AL
2016-02-14,68,False,AL
2016-02-21,49,False,AL
2016-02-28,44,False,AL
2016-03-06,50,False,AL
2016-03-13,53,False,AL
2016-03-20,55,False,AL
2016-03-27,60,False,AL
2016-04-03,60,False,AL
2016-04-10,64,False,AL
2016-04-17,52,False,AL
2016-04-24,47,False,AL
2016-05-01,51,False,AL
2016-05-08,58,False,AL
2016-05-15,64,False,AL
2016-05-22,47,False,AL
2016-05-29,63,False,AL
2016-06-05,80,False,AL
2016-06-12,58,False,AL
2016-06-19,61,False,AL
2016-06-26,54,False,AL
2016-07-03,55,False,AL
2016-07-10,64,False,AL
2016-07-17,53,False,AL
2016-07-24,58,False,AL
2016-07-31,60,False,AL
2016-08-07,66,False,AL
2016-08-14,67,False,AL
2016-08-21,72,False,AL
2016-08-28,60,False,AL
2016-09-04,53,False,AL
2016-09-11,48,False,AL
2016-09-18,56,False,AL
2016-09-25,68,False,AL
2016-10-02,51,False,AL
2016-10-09,59,False,AL
2016-10-16,57,False,AL
2016-10-23,53,False,AL
2016-10-30,58,False,AL
2016-11-06,53,False,AL
2016-11-13,67,False,AL
2016-11-20,47,False,AL
2016-11-27,47,False,AL
2016-12-04,52,False,AL
2016-12-11,59,False,AL
2016-12-18,50,False,AL
2016-12-25,68,False,AL
2017-01-01,63,False,AL
2017-01-08,57,False,AL
2017-01-15,57,False,AL
2017-01-22,58,False,AL
2017-01-29,56,False,AL
2017-02-05,51,False,AL
2017-02-12,59,False,AL
2017-02-19,53,False,AL
2017-02-26,52,False,AL
2017-03-05,66,False,AL
2017-03-12,60,False,AL
2017-03-19,52,False,AL
2017-03-26,64,False,AL
2017-04-02,53,False,AL
2017-04-09,75,False,AL
2017-04-16,73,False,AL
2017-04-23,80,False,AL
2017-04-30,61,False,AL
2017-05-07,62,False,AL
2017-05-14,74,False,AL
2017-05-21,68,False,AL
2017-05-28,81,False,AL
2017-06-04,78,False,AL
2017-06-11,91,False,AL
2017-06-18,93,False,AL
2017-06-25,86,False,AL
2017-07-02,70,False,AL
2017-07-09,83,False,AL
2017-07-16,68,False,AL
2017-07-23,86,False,AL
2017-07-30,92,False,AL
2017-08-06,100,False,AL
2017-08-13,75,False,AL
2017-08-20,90,False,AL
2017-08-27,84,False,AL
2017-09-03,64,False,AL
2017-09-10,74,False,AL
2017-09-17,69,False,AL
2017-09-24,74,False,AL
2017-10-01,68,False,AL
2017-10-08,70,False,AL
2017-10-15,62,False,AL
2017-10-22,63,False,AL
2017-10-29,70,False,AL
2017-11-05,69,False,AL
2017-11-12,72,False,AL
2017-11-19,48,False,AL
2017-11-26,76,False,AL
2017-12-03,48,False,AL
2017-12-10,65,False,AL
2017-12-17,65,False,AL
2017-12-24,56,False,AL
2017-12-31,83,False,AL
2018-01-07,72,False,AL
2018-01-14,60,False,AL
2018-01-21,71,False,AL
2018-01-28,67,False,AL
2018-02-04,67,False,AL
2018-02-11,71,False,AL
2018-02-18,70,False,AL
2018-02-25,56,False,AL
2018-03-04,79,False,AL
2018-03-11,66,False,AL
2018-03-18,61,False,AL
2018-03-25,64,False,AL
2018-04-01,63,False,AL
2018-04-08,76,False,AL
2018-04-15,68,False,AL
2018-04-22,72,False,AL
2018-04-29,67,False,AL
2018-05-06,82,False,AL
2018-05-13,85,False,AL
2018-05-20,78,False,AL
2018-05-27,87,False,AL
2018-06-03,86,False,AL
2018-06-10,90,False,AL
2018-06-17,87,False,AL
2018-06-24,81,False,AL
2018-07-01,73,False,AL
2018-07-08,99,False,AL
2018-07-15,89,False,AL
2018-07-22,100,False,AL
2018-07-29,81,False,AL
2018-08-05,90,False,AL
2018-08-12,80,False,AL
2018-08-19,84,False,AL
2018-08-26,73,False,AL
2018-09-02,67,False,AL
2018-09-09,85,False,AL
2018-09-16,78,False,AL
2018-09-23,82,False,AL
2018-09-30,73,False,AL
2018-10-07,66,False,AL
2018-10-14,70,False,AL
2018-10-21,66,False,AL
2018-10-28,63,False,AL
2018-11-04,77,False,AL
2018-11-11,76,False,AL
2018-11-18,57,False,AL
2018-11-25,74,False,AL
2018-12-02,69,False,AL
2018-12-09,71,False,AL
