date,online masters,isPartial,State
2015-01-04,17,False,AL
2015-01-11,0,False,AL
2015-01-18,0,False,AL
2015-01-25,32,False,AL
2015-02-01,16,False,AL
2015-02-08,33,False,AL
2015-02-15,16,False,AL
2015-02-22,48,False,AL
2015-03-01,0,False,AL
2015-03-08,16,False,AL
2015-03-15,0,False,AL
2015-03-22,40,False,AL
2015-03-29,36,False,AL
2015-04-05,0,False,AL
2015-04-12,50,False,AL
2015-04-19,17,False,AL
2015-04-26,17,False,AL
2015-05-03,83,False,AL
2015-05-10,37,False,AL
2015-05-17,0,False,AL
2015-05-24,0,False,AL
2015-05-31,20,False,AL
2015-06-07,19,False,AL
2015-06-14,19,False,AL
2015-06-21,18,False,AL
2015-06-28,36,False,AL
2015-07-05,17,False,AL
2015-07-12,0,False,AL
2015-07-19,35,False,AL
2015-07-26,0,False,AL
2015-08-02,0,False,AL
2015-08-09,34,False,AL
2015-08-16,31,False,AL
2015-08-23,46,False,AL
2015-08-30,0,False,AL
2015-09-06,62,False,AL
2015-09-13,15,False,AL
2015-09-20,15,False,AL
2015-09-27,0,False,AL
2015-10-04,45,False,AL
2015-10-11,0,False,AL
2015-10-18,15,False,AL
2015-10-25,45,False,AL
2015-11-01,100,False,AL
2015-11-08,0,False,AL
2015-11-15,29,False,AL
2015-11-22,0,False,AL
2015-11-29,14,False,AL
2015-12-06,43,False,AL
2015-12-13,0,False,AL
2015-12-20,0,False,AL
2015-12-27,15,False,AL
2016-01-03,0,False,AL
2016-01-10,10,False,AL
2016-01-17,20,False,AL
2016-01-24,10,False,AL
2016-01-31,28,False,AL
2016-02-07,10,False,AL
2016-02-14,29,False,AL
2016-02-21,38,False,AL
2016-02-28,9,False,AL
2016-03-06,9,False,AL
2016-03-13,0,False,AL
2016-03-20,20,False,AL
2016-03-27,10,False,AL
2016-04-03,30,False,AL
2016-04-10,20,False,AL
2016-04-17,29,False,AL
2016-04-24,20,False,AL
2016-05-01,40,False,AL
2016-05-08,31,False,AL
2016-05-15,62,False,AL
2016-05-22,11,False,AL
2016-05-29,21,False,AL
2016-06-05,21,False,AL
2016-06-12,0,False,AL
2016-06-19,10,False,AL
2016-06-26,0,False,AL
2016-07-03,44,False,AL
2016-07-10,21,False,AL
2016-07-17,21,False,AL
2016-07-24,21,False,AL
2016-07-31,31,False,AL
2016-08-07,22,False,AL
2016-08-14,32,False,AL
2016-08-21,20,False,AL
2016-08-28,10,False,AL
2016-09-04,29,False,AL
2016-09-11,9,False,AL
2016-09-18,9,False,AL
2016-09-25,9,False,AL
2016-10-02,19,False,AL
2016-10-09,19,False,AL
2016-10-16,29,False,AL
2016-10-23,10,False,AL
2016-10-30,19,False,AL
2016-11-06,0,False,AL
2016-11-13,9,False,AL
2016-11-20,20,False,AL
2016-11-27,35,False,AL
2016-12-04,0,False,AL
2016-12-11,47,False,AL
2016-12-18,40,False,AL
2016-12-25,29,False,AL
2017-01-01,37,False,AL
2017-01-08,71,False,AL
2017-01-15,9,False,AL
2017-01-22,25,False,AL
2017-01-29,26,False,AL
2017-02-05,0,False,AL
2017-02-12,9,False,AL
2017-02-19,17,False,AL
2017-02-26,16,False,AL
2017-03-05,8,False,AL
2017-03-12,0,False,AL
2017-03-19,9,False,AL
2017-03-26,18,False,AL
2017-04-02,25,False,AL
2017-04-09,36,False,AL
2017-04-16,26,False,AL
2017-04-23,26,False,AL
2017-04-30,17,False,AL
2017-05-07,27,False,AL
2017-05-14,39,False,AL
2017-05-21,20,False,AL
2017-05-28,58,False,AL
2017-06-04,19,False,AL
2017-06-11,18,False,AL
2017-06-18,26,False,AL
2017-06-25,10,False,AL
2017-07-02,30,False,AL
2017-07-09,0,False,AL
2017-07-16,48,False,AL
2017-07-23,19,False,AL
2017-07-30,18,False,AL
2017-08-06,27,False,AL
2017-08-13,9,False,AL
2017-08-20,0,False,AL
2017-08-27,0,False,AL
2017-09-03,9,False,AL
2017-09-10,8,False,AL
2017-09-17,17,False,AL
2017-09-24,17,False,AL
2017-10-01,17,False,AL
2017-10-08,9,False,AL
2017-10-15,0,False,AL
2017-10-22,9,False,AL
