date,porn,isPartial,State
2015-01-04,88,False,AL
2015-01-11,83,False,AL
2015-01-18,79,False,AL
2015-01-25,80,False,AL
2015-02-01,88,False,AL
2015-02-08,83,False,AL
2015-02-15,80,False,AL
2015-02-22,79,False,AL
2015-03-01,77,False,AL
2015-03-08,89,False,AL
2015-03-15,75,False,AL
2015-03-22,82,False,AL
2015-03-29,88,False,AL
2015-04-05,81,False,AL
2015-04-12,82,False,AL
2015-04-19,77,False,AL
2015-04-26,78,False,AL
2015-05-03,84,False,AL
2015-05-10,78,False,AL
2015-05-17,92,False,AL
2015-05-24,100,False,AL
2015-05-31,86,False,AL
2015-06-07,84,False,AL
2015-06-14,98,False,AL
2015-06-21,82,False,AL
2015-06-28,94,False,AL
2015-07-05,79,False,AL
2015-07-12,99,False,AL
2015-07-19,87,False,AL
2015-07-26,92,False,AL
2015-08-02,92,False,AL
2015-08-09,78,False,AL
2015-08-16,82,False,AL
2015-08-23,71,False,AL
2015-08-30,70,False,AL
2015-09-06,82,False,AL
2015-09-13,78,False,AL
2015-09-20,78,False,AL
2015-09-27,69,False,AL
2015-10-04,83,False,AL
2015-10-11,79,False,AL
2015-10-18,75,False,AL
2015-10-25,75,False,AL
2015-11-01,73,False,AL
2015-11-08,79,False,AL
2015-11-15,76,False,AL
2015-11-22,85,False,AL
2015-11-29,72,False,AL
2015-12-06,74,False,AL
2015-12-13,77,False,AL
2015-12-20,90,False,AL
2015-12-27,92,False,AL
2016-01-03,83,False,AL
2016-01-10,79,False,AL
2016-01-17,76,False,AL
2016-01-24,75,False,AL
2016-01-31,69,False,AL
2016-02-07,75,False,AL
2016-02-14,77,False,AL
2016-02-21,78,False,AL
2016-02-28,74,False,AL
2016-03-06,73,False,AL
2016-03-13,79,False,AL
2016-03-20,79,False,AL
2016-03-27,76,False,AL
2016-04-03,76,False,AL
2016-04-10,82,False,AL
2016-04-17,70,False,AL
2016-04-24,77,False,AL
2016-05-01,78,False,AL
2016-05-08,82,False,AL
2016-05-15,79,False,AL
2016-05-22,85,False,AL
2016-05-29,83,False,AL
2016-06-05,80,False,AL
2016-06-12,78,False,AL
2016-06-19,81,False,AL
2016-06-26,85,False,AL
2016-07-03,79,False,AL
2016-07-10,82,False,AL
2016-07-17,86,False,AL
2016-07-24,85,False,AL
2016-07-31,79,False,AL
2016-08-07,77,False,AL
2016-08-14,75,False,AL
2016-08-21,70,False,AL
2016-08-28,72,False,AL
2016-09-04,78,False,AL
2016-09-11,73,False,AL
2016-09-18,72,False,AL
2016-09-25,69,False,AL
2016-10-02,71,False,AL
2016-10-09,72,False,AL
2016-10-16,72,False,AL
2016-10-23,70,False,AL
2016-10-30,68,False,AL
2016-11-06,68,False,AL
2016-11-13,76,False,AL
2016-11-20,79,False,AL
2016-11-27,63,False,AL
2016-12-04,67,False,AL
2016-12-11,78,False,AL
2016-12-18,79,False,AL
2016-12-25,78,False,AL
2017-01-01,77,False,AL
2017-01-08,67,False,AL
2017-01-15,71,False,AL
2017-01-22,64,False,AL
2017-01-29,68,False,AL
2017-02-05,65,False,AL
2017-02-12,65,False,AL
2017-02-19,70,False,AL
2017-02-26,65,False,AL
2017-03-05,67,False,AL
2017-03-12,70,False,AL
2017-03-19,71,False,AL
2017-03-26,71,False,AL
2017-04-02,67,False,AL
2017-04-09,68,False,AL
2017-04-16,71,False,AL
2017-04-23,74,False,AL
2017-04-30,69,False,AL
2017-05-07,64,False,AL
2017-05-14,76,False,AL
2017-05-21,76,False,AL
2017-05-28,76,False,AL
2017-06-04,76,False,AL
2017-06-11,73,False,AL
2017-06-18,75,False,AL
2017-06-25,77,False,AL
2017-07-02,82,False,AL
2017-07-09,72,False,AL
2017-07-16,79,False,AL
2017-07-23,73,False,AL
2017-07-30,73,False,AL
2017-08-06,71,False,AL
2017-08-13,67,False,AL
2017-08-20,66,False,AL
2017-08-27,64,False,AL
2017-09-03,65,False,AL
2017-09-10,66,False,AL
2017-09-17,66,False,AL
2017-09-24,64,False,AL
2017-10-01,62,False,AL
2017-10-08,68,False,AL
2017-10-15,64,False,AL
2017-10-22,62,False,AL
2017-10-29,64,False,AL
2017-11-05,60,False,AL
2017-11-12,61,False,AL
2017-11-19,62,False,AL
2017-11-26,59,False,AL
2017-12-03,62,False,AL
2017-12-10,61,False,AL
2017-12-17,67,False,AL
2017-12-24,69,False,AL
2017-12-31,60,False,AL
2018-01-07,62,False,AL
2018-01-14,61,False,AL
2018-01-21,60,False,AL
2018-01-28,57,False,AL
2018-02-04,54,False,AL
2018-02-11,52,False,AL
2018-02-18,60,False,AL
2018-02-25,53,False,AL
2018-03-04,53,False,AL
2018-03-11,58,False,AL
2018-03-18,55,False,AL
2018-03-25,61,False,AL
2018-04-01,52,False,AL
2018-04-08,54,False,AL
2018-04-15,50,False,AL
2018-04-22,53,False,AL
2018-04-29,53,False,AL
2018-05-06,55,False,AL
2018-05-13,60,False,AL
2018-05-20,55,False,AL
2018-05-27,58,False,AL
2018-06-03,59,False,AL
2018-06-10,52,False,AL
2018-06-17,56,False,AL
2018-06-24,57,False,AL
2018-07-01,56,False,AL
2018-07-08,58,False,AL
2018-07-15,54,False,AL
2018-07-22,55,False,AL
2018-07-29,61,False,AL
2018-08-05,56,False,AL
2018-08-12,49,False,AL
2018-08-19,53,False,AL
2018-08-26,54,False,AL
2018-09-02,54,False,AL
2018-09-09,50,False,AL
2018-09-16,50,False,AL
2018-09-23,50,False,AL
2018-09-30,50,False,AL
2018-10-07,50,False,AL
2018-10-14,51,False,AL
2018-10-21,49,False,AL
2018-10-28,56,False,AL
2018-11-04,52,False,AL
2018-11-11,54,False,AL
2018-11-18,60,False,AL
2018-11-25,49,False,AL
2018-12-02,48,False,AL
2018-12-09,51,False,AL
2018-12-16,55,False,AL
2018-12-23,63,False,AL
2018-12-30,58,False,AL
2015-01-04,83,False,AK
2015-01-11,72,False,AK
2015-01-18,85,False,AK
2015-01-25,70,False,AK
2015-02-01,85,False,AK
2015-02-08,79,False,AK
2015-02-15,69,False,AK
2015-02-22,91,False,AK
2015-03-01,81,False,AK
2015-03-08,67,False,AK
2015-03-15,78,False,AK
2015-03-22,69,False,AK
2015-03-29,94,False,AK
2015-04-05,68,False,AK
2015-04-12,62,False,AK
2015-04-19,61,False,AK
2015-04-26,71,False,AK
2015-05-03,87,False,AK
2015-05-10,70,False,AK
2015-05-17,83,False,AK
2015-05-24,78,False,AK
2015-05-31,79,False,AK
2015-06-07,93,False,AK
2015-06-14,83,False,AK
2015-06-21,79,False,AK
2015-06-28,100,False,AK
2015-07-05,67,False,AK
2015-07-12,70,False,AK
2015-07-19,87,False,AK
2015-07-26,81,False,AK
2015-08-02,76,False,AK
2015-08-09,74,False,AK
2015-08-16,77,False,AK
2015-08-23,60,False,AK
2015-08-30,62,False,AK
2015-09-06,77,False,AK
2015-09-13,79,False,AK
2015-09-20,66,False,AK
2015-09-27,68,False,AK
2015-10-04,85,False,AK
2015-10-11,68,False,AK
2015-10-18,66,False,AK
2015-10-25,62,False,AK
2015-11-01,86,False,AK
2015-11-08,64,False,AK
2015-11-15,61,False,AK
2015-11-22,80,False,AK
2015-11-29,63,False,AK
2015-12-06,83,False,AK
2015-12-13,69,False,AK
2015-12-20,76,False,AK
2015-12-27,80,False,AK
2016-01-03,70,False,AK
2016-01-10,67,False,AK
2016-01-17,61,False,AK
2016-01-24,69,False,AK
2016-01-31,56,False,AK
2016-02-07,48,False,AK
2016-02-14,60,False,AK
2016-02-21,48,False,AK
2016-02-28,55,False,AK
2016-03-06,65,False,AK
2016-03-13,67,False,AK
2016-03-20,59,False,AK
2016-03-27,65,False,AK
2016-04-03,65,False,AK
2016-04-10,56,False,AK
2016-04-17,66,False,AK
2016-04-24,65,False,AK
2016-05-01,58,False,AK
2016-05-08,66,False,AK
2016-05-15,63,False,AK
2016-05-22,61,False,AK
2016-05-29,71,False,AK
2016-06-05,74,False,AK
2016-06-12,64,False,AK
2016-06-19,58,False,AK
2016-06-26,56,False,AK
2016-07-03,71,False,AK
2016-07-10,76,False,AK
2016-07-17,58,False,AK
2016-07-24,63,False,AK
2016-07-31,76,False,AK
2016-08-07,54,False,AK
2016-08-14,57,False,AK
2016-08-21,65,False,AK
2016-08-28,63,False,AK
2016-09-04,71,False,AK
2016-09-11,50,False,AK
2016-09-18,53,False,AK
2016-09-25,62,False,AK
2016-10-02,52,False,AK
2016-10-09,66,False,AK
