date,unemployment,State
2015-01-04,91,AL
2015-01-11,85,AL
2015-01-18,83,AL
2015-01-25,75,AL
2015-02-01,51,AL
2015-02-08,76,AL
2015-02-15,46,AL
2015-02-22,52,AL
2015-03-01,95,AL
2015-03-08,59,AL
2015-03-15,69,AL
2015-03-22,45,AL
2015-03-29,51,AL
2015-04-05,77,AL
2015-04-12,41,AL
2015-04-19,52,AL
2015-04-26,53,AL
2015-05-03,55,AL
2015-05-10,68,AL
2015-05-17,91,AL
2015-05-24,62,AL
2015-05-31,100,AL
2015-06-07,59,AL
2015-06-14,32,AL
2015-06-21,52,AL
2015-06-28,48,AL
2015-07-05,57,AL
2015-07-12,28,AL
2015-07-19,42,AL
2015-07-26,60,AL
2015-08-02,52,AL
2015-08-09,66,AL
2015-08-16,57,AL
2015-08-23,38,AL
2015-08-30,65,AL
2015-09-06,60,AL
2015-09-13,49,AL
2015-09-20,50,AL
2015-09-27,44,AL
2015-10-04,51,AL
2015-10-11,43,AL
2015-10-18,64,AL
2015-10-25,48,AL
2015-11-01,41,AL
2015-11-08,63,AL
2015-11-15,54,AL
2015-11-22,82,AL
2015-11-29,76,AL
2015-12-06,32,AL
2015-12-13,37,AL
2015-12-20,54,AL
2015-12-27,85,AL
2016-01-03,76,AL
2016-01-10,64,AL
2016-01-17,58,AL
2016-01-24,64,AL
2016-01-31,36,AL
2016-02-07,49,AL
2016-02-14,44,AL
2016-02-21,44,AL
2016-02-28,78,AL
2016-03-06,56,AL
2016-03-13,66,AL
2016-03-20,48,AL
2016-03-27,41,AL
2016-04-03,51,AL
2016-04-10,58,AL
2016-04-17,39,AL
2016-04-24,42,AL
2016-05-01,49,AL
2016-05-08,45,AL
2016-05-15,64,AL
2016-05-22,44,AL
2016-05-29,44,AL
2016-06-05,58,AL
2016-06-12,63,AL
2016-06-19,88,AL
2016-06-26,65,AL
2016-07-03,62,AL
2016-07-10,45,AL
2016-07-17,77,AL
2016-07-24,51,AL
2016-07-31,66,AL
2016-08-07,64,AL
2016-08-14,53,AL
2016-08-21,50,AL
2016-08-28,35,AL
2016-09-04,38,AL
2016-09-11,52,AL
2016-09-18,38,AL
2016-09-25,43,AL
2016-10-02,43,AL
2016-10-09,33,AL
2016-10-16,42,AL
2016-10-23,62,AL
2016-10-30,55,AL
2016-11-06,54,AL
2016-11-13,48,AL
2016-11-20,35,AL
2016-11-27,44,AL
2016-12-04,46,AL
2016-12-11,58,AL
2016-12-18,50,AL
2016-12-25,60,AL
2017-01-01,56,AL
2017-01-08,68,AL
2017-01-15,61,AL
2017-01-22,90,AL
2017-01-29,45,AL
2017-02-05,81,AL
2017-02-12,49,AL
2017-02-19,48,AL
2017-02-26,60,AL
2017-03-05,69,AL
2017-03-12,43,AL
2017-03-19,32,AL
2017-03-26,50,AL
2017-04-02,53,AL
2017-04-09,55,AL
2017-04-16,54,AL
2017-04-23,60,AL
2017-04-30,31,AL
2017-05-07,39,AL
2017-05-14,53,AL
2017-05-21,53,AL
2017-05-28,81,AL
2017-06-04,65,AL
2017-06-11,67,AL
2017-06-18,65,AL
2017-06-25,69,AL
2017-07-02,53,AL
2017-07-09,69,AL
2017-07-16,60,AL
2017-07-23,60,AL
2017-07-30,41,AL
2017-08-06,53,AL
2017-08-13,49,AL
2017-08-20,71,AL
2017-08-27,53,AL
2017-09-03,55,AL
2017-09-10,35,AL
2017-09-17,53,AL
2017-09-24,42,AL
2017-10-01,43,AL
2017-10-08,64,AL
2017-10-15,46,AL
2017-10-22,61,AL
2017-10-29,42,AL
2017-11-05,48,AL
2017-11-12,43,AL
2017-11-19,45,AL
2017-11-26,56,AL
2017-12-03,56,AL
2017-12-10,47,AL
2017-12-17,58,AL
2017-12-24,55,AL
2017-12-31,56,AL
2018-01-07,61,AL
2018-01-14,70,AL
2018-01-21,64,AL
2018-01-28,56,AL
2018-02-04,45,AL
2018-02-11,39,AL
2018-02-18,30,AL
2018-02-25,46,AL
2018-03-04,36,AL
2018-03-11,29,AL
2018-03-18,35,AL
2018-03-25,34,AL
2018-04-01,46,AL
2018-04-08,40,AL
2018-04-15,58,AL
2018-04-22,46,AL
2018-04-29,45,AL
2018-05-06,60,AL
2018-05-13,54,AL
2018-05-20,56,AL
2018-05-27,64,AL
2018-06-03,46,AL
2018-06-10,40,AL
2018-06-17,51,AL
2018-06-24,64,AL
2018-07-01,55,AL
2018-07-08,59,AL
2018-07-15,53,AL
2018-07-22,65,AL
2018-07-29,68,AL
2018-08-05,68,AL
2018-08-12,65,AL
2018-08-19,55,AL
2018-08-26,39,AL
2018-09-02,48,AL
2018-09-09,41,AL
2018-09-16,37,AL
2018-09-23,46,AL
2018-09-30,44,AL
2018-10-07,37,AL
2018-10-14,43,AL
2018-10-21,47,AL
2018-10-28,37,AL
2018-11-04,48,AL
2018-11-11,38,AL
2018-11-18,18,AL
2018-11-25,46,AL
2018-12-02,52,AL
2018-12-09,51,AL
2018-12-16,46,AL
2018-12-23,65,AL
2018-12-30,69,AL
2015-01-04,49,AK
2015-01-11,86,AK
2015-01-18,69,AK
2015-01-25,57,AK
2015-02-01,29,AK
2015-02-08,77,AK
2015-02-15,39,AK
2015-02-22,18,AK
2015-03-01,47,AK
2015-03-08,76,AK
2015-03-15,38,AK
