,Unnamed: 0_x,date,harry potter,State,spider solitaire,cheap gym,how to bake bread,ebay,coursera,online masters,brownie recipe,candy crush,mens underwear,google flights,unemployment,Unnamed: 0_y,SMU56000000000000001
0,0.0,2015-01-04,28.0,AL,17.0,0.0,0.0,84.0,32.0,17.0,42.0,86.0,0.0,11.0,91.0,,
1,1.0,2015-01-11,24.0,AL,32.0,0.0,0.0,84.0,0.0,0.0,20.0,61.0,32.0,33.0,85.0,,
2,2.0,2015-01-18,39.0,AL,25.0,100.0,0.0,87.0,0.0,0.0,61.0,46.0,0.0,0.0,83.0,,
3,3.0,2015-01-25,19.0,AL,8.0,0.0,0.0,92.0,31.0,32.0,0.0,61.0,32.0,33.0,75.0,,
4,4.0,2015-02-01,25.0,AL,24.0,0.0,0.0,89.0,30.0,16.0,0.0,77.0,0.0,32.0,51.0,,
5,5.0,2015-02-08,17.0,AL,16.0,0.0,0.0,91.0,0.0,33.0,20.0,79.0,0.0,33.0,76.0,,
6,6.0,2015-02-15,22.0,AL,16.0,0.0,0.0,75.0,0.0,16.0,41.0,73.0,64.0,33.0,46.0,,
7,7.0,2015-02-22,36.0,AL,8.0,0.0,0.0,86.0,61.0,48.0,100.0,55.0,63.0,33.0,52.0,,
8,8.0,2015-03-01,31.0,AL,16.0,0.0,0.0,93.0,31.0,0.0,0.0,50.0,0.0,33.0,95.0,,
9,9.0,2015-03-08,31.0,AL,16.0,0.0,0.0,93.0,31.0,16.0,20.0,73.0,64.0,33.0,59.0,,
10,10.0,2015-03-15,29.0,AL,26.0,0.0,0.0,86.0,0.0,0.0,0.0,47.0,34.0,12.0,69.0,,
11,11.0,2015-03-22,34.0,AL,10.0,0.0,0.0,100.0,38.0,40.0,25.0,55.0,0.0,68.0,45.0,,
12,12.0,2015-03-29,27.0,AL,9.0,0.0,0.0,76.0,35.0,36.0,23.0,62.0,0.0,25.0,51.0,,
13,13.0,2015-04-05,15.0,AL,0.0,0.0,0.0,86.0,0.0,0.0,0.0,24.0,0.0,35.0,77.0,,
14,14.0,2015-04-12,28.0,AL,100.0,0.0,0.0,89.0,0.0,50.0,42.0,52.0,0.0,46.0,41.0,,
15,15.0,2015-04-19,32.0,AL,9.0,0.0,0.0,92.0,33.0,17.0,0.0,30.0,34.0,82.0,52.0,,
16,16.0,2015-04-26,30.0,AL,35.0,0.0,0.0,78.0,100.0,17.0,0.0,36.0,34.0,0.0,53.0,,
17,17.0,2015-05-03,32.0,AL,0.0,0.0,0.0,81.0,32.0,83.0,42.0,41.0,33.0,35.0,55.0,,
18,18.0,2015-05-10,20.0,AL,19.0,58.0,0.0,85.0,36.0,37.0,47.0,32.0,37.0,51.0,68.0,,
19,19.0,2015-05-17,15.0,AL,40.0,0.0,0.0,84.0,75.0,0.0,24.0,41.0,0.0,53.0,91.0,,
20,20.0,2015-05-24,30.0,AL,30.0,0.0,0.0,90.0,0.0,0.0,51.0,77.0,0.0,14.0,62.0,,
21,21.0,2015-05-31,44.0,AL,30.0,0.0,0.0,90.0,0.0,20.0,0.0,48.0,39.0,67.0,100.0,,
22,22.0,2015-06-07,35.0,AL,49.0,0.0,100.0,86.0,37.0,19.0,24.0,54.0,0.0,27.0,59.0,,
23,23.0,2015-06-14,33.0,AL,10.0,0.0,0.0,85.0,0.0,19.0,0.0,40.0,0.0,81.0,32.0,,
24,24.0,2015-06-21,27.0,AL,28.0,0.0,0.0,96.0,0.0,18.0,23.0,57.0,0.0,37.0,52.0,,
25,25.0,2015-06-28,19.0,AL,46.0,0.0,0.0,88.0,35.0,36.0,0.0,100.0,36.0,37.0,48.0,,
26,26.0,2015-07-05,26.0,AL,53.0,0.0,0.0,92.0,0.0,17.0,44.0,55.0,0.0,24.0,57.0,,
27,27.0,2015-07-12,22.0,AL,26.0,0.0,0.0,97.0,33.0,0.0,0.0,66.0,0.0,0.0,28.0,,
28,28.0,2015-07-19,37.0,AL,62.0,0.0,0.0,95.0,0.0,35.0,22.0,79.0,34.0,59.0,42.0,,
29,29.0,2015-07-26,39.0,AL,18.0,0.0,0.0,82.0,0.0,0.0,22.0,30.0,34.0,24.0,60.0,,
30,30.0,2015-08-02,30.0,AL,18.0,0.0,0.0,86.0,33.0,0.0,21.0,42.0,0.0,35.0,52.0,,
31,31.0,2015-08-09,25.0,AL,26.0,0.0,0.0,81.0,0.0,34.0,21.0,35.0,0.0,46.0,66.0,,
32,32.0,2015-08-16,32.0,AL,47.0,0.0,0.0,88.0,60.0,31.0,20.0,60.0,0.0,43.0,57.0,,
33,33.0,2015-08-23,21.0,AL,23.0,0.0,0.0,81.0,0.0,46.0,19.0,59.0,61.0,21.0,38.0,,
34,34.0,2015-08-30,21.0,AL,8.0,0.0,0.0,80.0,29.0,0.0,0.0,70.0,0.0,0.0,65.0,,
35,35.0,2015-09-06,15.0,AL,8.0,0.0,0.0,85.0,60.0,62.0,0.0,60.0,0.0,11.0,60.0,,
36,36.0,2015-09-13,27.0,AL,8.0,0.0,0.0,68.0,29.0,15.0,19.0,41.0,0.0,31.0,49.0,,
37,37.0,2015-09-20,19.0,AL,22.0,0.0,0.0,73.0,28.0,15.0,18.0,20.0,0.0,30.0,50.0,,
38,38.0,2015-09-27,25.0,AL,29.0,0.0,75.0,78.0,28.0,0.0,0.0,35.0,0.0,39.0,44.0,,
39,39.0,2015-10-04,29.0,AL,15.0,0.0,0.0,73.0,86.0,45.0,0.0,36.0,0.0,41.0,51.0,,
40,40.0,2015-10-11,33.0,AL,31.0,0.0,79.0,77.0,29.0,0.0,19.0,42.0,0.0,21.0,43.0,,
41,41.0,2015-10-18,47.0,AL,0.0,0.0,0.0,74.0,0.0,15.0,19.0,37.0,0.0,41.0,64.0,,
42,42.0,2015-10-25,39.0,AL,8.0,0.0,0.0,79.0,29.0,45.0,0.0,42.0,0.0,51.0,48.0,,
43,43.0,2015-11-01,32.0,AL,7.0,0.0,0.0,86.0,28.0,100.0,0.0,35.0,0.0,49.0,41.0,,
44,44.0,2015-11-08,25.0,AL,30.0,0.0,0.0,91.0,0.0,0.0,0.0,31.0,0.0,31.0,63.0,,
45,45.0,2015-11-15,26.0,AL,37.0,0.0,0.0,78.0,0.0,29.0,0.0,15.0,29.0,40.0,54.0,,
46,46.0,2015-11-22,27.0,AL,9.0,0.0,0.0,87.0,32.0,0.0,21.0,35.0,100.0,23.0,82.0,,
47,47.0,2015-11-29,22.0,AL,21.0,0.0,0.0,87.0,0.0,14.0,0.0,24.0,0.0,47.0,76.0,,
48,48.0,2015-12-06,32.0,AL,7.0,0.0,0.0,94.0,28.0,43.0,0.0,39.0,28.0,39.0,32.0,,
49,49.0,2015-12-13,49.0,AL,8.0,0.0,0.0,87.0,29.0,0.0,19.0,37.0,60.0,42.0,37.0,,
50,50.0,2015-12-20,49.0,AL,9.0,0.0,0.0,90.0,0.0,0.0,0.0,37.0,0.0,24.0,54.0,,
51,51.0,2015-12-27,58.0,AL,0.0,0.0,0.0,87.0,57.0,15.0,19.0,26.0,29.0,20.0,85.0,,
52,52.0,2016-01-03,39.0,AL,10.0,0.0,0.0,73.0,0.0,0.0,26.0,47.0,0.0,50.0,76.0,,
53,53.0,2016-01-10,39.0,AL,35.0,0.0,0.0,67.0,0.0,10.0,12.0,31.0,0.0,34.0,64.0,,
54,54.0,2016-01-17,44.0,AL,15.0,0.0,0.0,69.0,19.0,20.0,12.0,61.0,0.0,20.0,58.0,,
55,55.0,2016-01-24,25.0,AL,25.0,0.0,0.0,71.0,0.0,10.0,12.0,54.0,39.0,34.0,64.0,,
56,56.0,2016-01-31,30.0,AL,10.0,0.0,0.0,72.0,38.0,28.0,0.0,37.0,39.0,20.0,36.0,,
57,57.0,2016-02-07,27.0,AL,5.0,0.0,0.0,70.0,37.0,10.0,12.0,30.0,0.0,53.0,49.0,,
58,58.0,2016-02-14,36.0,AL,10.0,0.0,0.0,74.0,19.0,29.0,0.0,41.0,19.0,7.0,44.0,,
59,59.0,2016-02-21,30.0,AL,19.0,29.0,0.0,69.0,0.0,38.0,24.0,36.0,38.0,19.0,44.0,,
60,60.0,2016-02-28,37.0,AL,14.0,0.0,0.0,68.0,18.0,9.0,23.0,45.0,0.0,26.0,78.0,,
61,61.0,2016-03-06,35.0,AL,10.0,0.0,49.0,73.0,0.0,9.0,12.0,46.0,38.0,85.0,56.0,,
62,62.0,2016-03-13,22.0,AL,5.0,0.0,0.0,76.0,0.0,0.0,12.0,31.0,39.0,61.0,66.0,,
63,63.0,2016-03-20,36.0,AL,0.0,0.0,0.0,70.0,38.0,20.0,25.0,69.0,0.0,34.0,48.0,,
64,64.0,2016-03-27,25.0,AL,25.0,0.0,0.0,71.0,19.0,10.0,25.0,24.0,0.0,41.0,41.0,,
65,65.0,2016-04-03,33.0,AL,20.0,0.0,0.0,62.0,0.0,30.0,13.0,35.0,20.0,7.0,51.0,,
66,66.0,2016-04-10,29.0,AL,15.0,0.0,51.0,59.0,19.0,20.0,12.0,38.0,20.0,47.0,58.0,,
67,67.0,2016-04-17,26.0,AL,10.0,30.0,0.0,62.0,0.0,29.0,25.0,45.0,20.0,55.0,39.0,,
68,68.0,2016-04-24,34.0,AL,15.0,0.0,0.0,59.0,0.0,20.0,0.0,48.0,0.0,27.0,42.0,,
69,69.0,2016-05-01,37.0,AL,25.0,0.0,0.0,57.0,39.0,40.0,38.0,35.0,20.0,21.0,49.0,,
70,70.0,2016-05-08,31.0,AL,5.0,32.0,0.0,71.0,40.0,31.0,26.0,29.0,0.0,21.0,45.0,,
71,71.0,2016-05-15,26.0,AL,11.0,0.0,0.0,64.0,0.0,62.0,13.0,55.0,0.0,21.0,64.0,,
72,72.0,2016-05-22,32.0,AL,16.0,0.0,0.0,61.0,21.0,11.0,27.0,48.0,0.0,22.0,44.0,,
73,73.0,2016-05-29,38.0,AL,16.0,0.0,0.0,77.0,40.0,21.0,0.0,54.0,0.0,50.0,44.0,,
74,74.0,2016-06-05,38.0,AL,37.0,0.0,0.0,73.0,40.0,21.0,0.0,32.0,42.0,57.0,58.0,,
75,75.0,2016-06-12,29.0,AL,16.0,0.0,0.0,68.0,0.0,0.0,13.0,22.0,0.0,14.0,63.0,,
76,76.0,2016-06-19,19.0,AL,11.0,32.0,0.0,57.0,20.0,10.0,13.0,48.0,0.0,65.0,88.0,,
77,77.0,2016-06-26,32.0,AL,11.0,0.0,0.0,62.0,0.0,0.0,26.0,54.0,0.0,29.0,65.0,,
78,78.0,2016-07-03,28.0,AL,28.0,0.0,0.0,69.0,0.0,44.0,28.0,15.0,22.0,22.0,62.0,,
79,79.0,2016-07-10,40.0,AL,26.0,0.0,0.0,63.0,0.0,21.0,13.0,40.0,21.0,65.0,45.0,,
80,80.0,2016-07-17,21.0,AL,11.0,0.0,0.0,62.0,20.0,21.0,13.0,47.0,0.0,36.0,77.0,,
81,81.0,2016-07-24,43.0,AL,26.0,0.0,0.0,70.0,0.0,21.0,39.0,32.0,0.0,29.0,51.0,,
82,82.0,2016-07-31,100.0,AL,32.0,32.0,0.0,67.0,61.0,31.0,53.0,40.0,21.0,36.0,66.0,,
83,83.0,2016-08-07,44.0,AL,16.0,0.0,0.0,61.0,0.0,22.0,14.0,37.0,65.0,37.0,64.0,,
84,84.0,2016-08-14,38.0,AL,22.0,0.0,0.0,58.0,0.0,32.0,0.0,26.0,21.0,45.0,53.0,,
85,85.0,2016-08-21,37.0,AL,26.0,0.0,0.0,62.0,0.0,20.0,13.0,50.0,20.0,42.0,50.0,,
86,86.0,2016-08-28,42.0,AL,49.0,89.0,0.0,63.0,0.0,10.0,12.0,60.0,0.0,53.0,35.0,,
87,87.0,2016-09-04,33.0,AL,20.0,0.0,0.0,60.0,37.0,29.0,25.0,40.0,19.0,60.0,38.0,,
88,88.0,2016-09-11,34.0,AL,19.0,29.0,0.0,51.0,0.0,9.0,12.0,36.0,0.0,39.0,52.0,,
89,89.0,2016-09-18,27.0,AL,33.0,29.0,0.0,57.0,18.0,9.0,0.0,10.0,18.0,19.0,38.0,,
90,90.0,2016-09-25,30.0,AL,10.0,29.0,0.0,58.0,0.0,9.0,0.0,33.0,19.0,39.0,43.0,,
91,91.0,2016-10-02,37.0,AL,19.0,0.0,49.0,56.0,0.0,19.0,24.0,20.0,19.0,66.0,43.0,,
92,92.0,2016-10-09,33.0,AL,20.0,0.0,0.0,55.0,19.0,19.0,12.0,37.0,38.0,26.0,33.0,,
93,93.0,2016-10-16,38.0,AL,10.0,0.0,0.0,53.0,0.0,29.0,12.0,44.0,0.0,67.0,42.0,,
94,94.0,2016-10-23,31.0,AL,20.0,0.0,0.0,54.0,0.0,10.0,37.0,27.0,58.0,60.0,62.0,,
95,95.0,2016-10-30,27.0,AL,19.0,0.0,0.0,60.0,0.0,19.0,0.0,17.0,0.0,20.0,55.0,,
96,96.0,2016-11-06,22.0,AL,14.0,0.0,0.0,54.0,0.0,0.0,0.0,35.0,36.0,31.0,54.0,,
97,97.0,2016-11-13,41.0,AL,19.0,0.0,0.0,61.0,18.0,9.0,0.0,20.0,37.0,13.0,48.0,,
98,98.0,2016-11-20,66.0,AL,10.0,0.0,0.0,73.0,19.0,20.0,13.0,17.0,0.0,34.0,35.0,,
99,99.0,2016-11-27,28.0,AL,27.0,0.0,0.0,65.0,50.0,35.0,0.0,18.0,52.0,60.0,44.0,,
100,100.0,2016-12-04,32.0,AL,13.0,0.0,0.0,66.0,0.0,0.0,11.0,21.0,51.0,30.0,46.0,,
101,101.0,2016-12-11,31.0,AL,19.0,0.0,0.0,72.0,0.0,47.0,24.0,19.0,93.0,52.0,58.0,,
102,102.0,2016-12-18,56.0,AL,26.0,0.0,0.0,67.0,20.0,40.0,38.0,28.0,40.0,49.0,50.0,,
103,103.0,2016-12-25,44.0,AL,15.0,0.0,0.0,66.0,0.0,29.0,25.0,34.0,39.0,27.0,60.0,,
104,104.0,2017-01-01,55.0,AL,28.0,28.0,0.0,58.0,53.0,37.0,0.0,54.0,36.0,50.0,56.0,,
