,date,vodka,State,spider solitaire,participants_x,inflation_x,participants_y,blood drive,ebay,jobs,brownie recipe,xbox,linkedin,haircut,calvin klein,candy crush,omegle,slutload,inflation_y,harvard,jobs near me,mens underwear,pornhub,lottery,google flights,unemployment,resume template
0,2011-01-01,46.0,AL,58.0,8.0,68.0,25.0,22.0,82.0,85.0,13.0,59.0,27.0,41,61.0,0.0,30.0,84.0,89.0,75.0,0.0,18,38,29.0,4,77,56.0
1,2011-02-01,27.0,AL,46.0,8.0,80.0,26.0,0.0,84.0,67.0,14.0,42.0,28.0,100,41.0,0.0,43.0,78.0,47.0,63.0,2.0,0,39,27.0,12,68,39.0
2,2011-03-01,41.0,AL,64.0,15.0,75.0,24.0,0.0,87.0,78.0,78.0,41.0,25.0,64,16.0,0.0,37.0,73.0,51.0,66.0,0.0,53,43,28.0,11,65,28.0
3,2011-04-01,57.0,AL,44.0,0.0,63.0,26.0,23.0,72.0,69.0,28.0,45.0,26.0,37,17.0,0.0,29.0,91.0,69.0,55.0,0.0,0,42,28.0,4,60,68.0
4,2011-05-01,51.0,AL,75.0,32.0,40.0,0.0,70.0,84.0,82.0,56.0,46.0,31.0,31,29.0,0.0,29.0,100.0,84.0,59.0,0.0,19,46,28.0,0,78,29.0
5,2011-06-01,73.0,AL,16.0,0.0,33.0,27.0,0.0,81.0,89.0,0.0,58.0,45.0,28,65.0,0.0,51.0,98.0,48.0,61.0,0.0,39,46,26.0,4,59,100.0
6,2011-07-01,72.0,AL,45.0,16.0,32.0,52.0,0.0,92.0,82.0,42.0,55.0,43.0,34,41.0,0.0,60.0,74.0,24.0,78.0,0.0,19,52,28.0,8,68,39.0
7,2011-08-01,69.0,AL,33.0,0.0,21.0,23.0,21.0,85.0,81.0,37.0,50.0,46.0,31,15.0,0.0,47.0,72.0,35.0,72.0,0.0,34,47,29.0,3,65,61.0
8,2011-09-01,75.0,AL,54.0,0.0,87.0,48.0,0.0,94.0,83.0,51.0,48.0,44.0,39,11.0,0.0,45.0,61.0,79.0,51.0,2.0,35,45,30.0,11,56,44.0
9,2011-10-01,45.0,AL,73.0,14.0,49.0,23.0,41.0,83.0,100.0,12.0,47.0,44.0,24,51.0,0.0,30.0,52.0,41.0,72.0,0.0,17,47,28.0,7,64,61.0
10,2011-11-01,83.0,AL,46.0,14.0,78.0,45.0,62.0,84.0,66.0,12.0,69.0,50.0,31,25.0,0.0,36.0,85.0,68.0,59.0,0.0,50,46,24.0,24,62,0.0
11,2011-12-01,100.0,AL,20.0,14.0,84.0,23.0,21.0,92.0,64.0,49.0,79.0,44.0,26,51.0,0.0,54.0,55.0,54.0,72.0,0.0,17,52,26.0,7,56,26.0
12,2012-01-01,42.0,AL,71.0,31.0,37.0,40.0,18.0,82.0,75.0,65.0,55.0,44.0,40,18.0,0.0,55.0,37.0,36.0,44.0,0.0,60,42,29.0,0,73,69.0
13,2012-02-01,59.0,AL,66.0,32.0,57.0,83.0,0.0,86.0,66.0,22.0,40.0,60.0,31,41.0,0.0,43.0,36.0,25.0,88.0,0.0,0,50,28.0,3,56,23.0
14,2012-03-01,86.0,AL,50.0,19.0,45.0,85.0,19.0,86.0,68.0,34.0,41.0,42.0,43,19.0,0.0,60.0,48.0,38.0,81.0,0.0,15,49,44.0,10,65,33.0
15,2012-04-01,70.0,AL,25.0,13.0,80.0,44.0,0.0,77.0,73.0,35.0,37.0,57.0,37,39.0,0.0,37.0,68.0,91.0,100.0,0.0,16,51,29.0,0,61,74.0
16,2012-05-01,91.0,AL,93.0,6.0,59.0,21.0,38.0,77.0,77.0,57.0,46.0,51.0,63,43.0,0.0,48.0,61.0,44.0,67.0,0.0,31,56,27.0,0,55,72.0
17,2012-06-01,64.0,AL,52.0,0.0,54.0,0.0,20.0,76.0,81.0,71.0,57.0,59.0,66,20.0,1.0,40.0,60.0,40.0,77.0,0.0,49,62,26.0,3,48,25.0
18,2012-07-01,87.0,AL,48.0,6.0,51.0,84.0,0.0,88.0,76.0,78.0,61.0,59.0,48,47.0,1.0,33.0,30.0,44.0,45.0,0.0,46,58,21.0,0,58,64.0
19,2012-08-01,69.0,AL,23.0,24.0,47.0,59.0,0.0,84.0,74.0,42.0,51.0,51.0,76,26.0,0.0,34.0,36.0,59.0,62.0,0.0,28,52,20.0,6,51,52.0
20,2012-09-01,69.0,AL,18.0,6.0,56.0,0.0,18.0,79.0,70.0,76.0,42.0,62.0,43,27.0,0.0,27.0,57.0,80.0,44.0,1.0,0,54,23.0,0,48,62.0
21,2012-10-01,65.0,AL,47.0,6.0,78.0,0.0,0.0,86.0,71.0,59.0,42.0,58.0,29,28.0,0.0,62.0,31.0,65.0,45.0,0.0,13,55,19.0,3,48,62.0
22,2012-11-01,67.0,AL,60.0,5.0,69.0,16.0,29.0,90.0,59.0,69.0,62.0,47.0,45,36.0,1.0,48.0,25.0,53.0,59.0,0.0,47,60,40.0,5,41,42.0
23,2012-12-01,80.0,AL,45.0,14.0,57.0,79.0,0.0,100.0,50.0,50.0,64.0,46.0,42,42.0,4.0,61.0,22.0,33.0,31.0,0.0,12,60,29.0,12,55,23.0
24,2013-01-01,64.0,AL,78.0,5.0,34.0,16.0,0.0,89.0,71.0,8.0,51.0,71.0,40,21.0,4.0,64.0,38.0,42.0,72.0,1.0,35,53,22.0,7,56,42.0
25,2013-02-01,77.0,AL,65.0,34.0,85.0,74.0,50.0,92.0,61.0,49.0,49.0,79.0,63,41.0,7.0,65.0,21.0,61.0,70.0,0.0,41,52,18.0,8,47,49.0
26,2013-03-01,46.0,AL,81.0,5.0,25.0,16.0,0.0,89.0,58.0,26.0,51.0,65.0,39,22.0,17.0,76.0,30.0,30.0,56.0,0.0,12,54,26.0,7,41,49.0
27,2013-04-01,71.0,AL,69.0,26.0,78.0,17.0,15.0,83.0,68.0,45.0,43.0,84.0,47,42.0,26.0,96.0,22.0,82.0,59.0,2.0,12,60,19.0,3,40,26.0
