date,cornell,State
2015-01-04,2,AL
2015-01-11,2,AL
2015-01-18,0,AL
2015-01-25,3,AL
2015-02-01,3,AL
2015-02-08,3,AL
2015-02-15,2,AL
2015-02-22,0,AL
2015-03-01,1,AL
2015-03-08,4,AL
2015-03-15,4,AL
2015-03-22,3,AL
2015-03-29,1,AL
2015-04-05,1,AL
2015-04-12,1,AL
2015-04-19,2,AL
2015-04-26,4,AL
2015-05-03,7,AL
2015-05-10,2,AL
2015-05-17,0,AL
2015-05-24,1,AL
2015-05-31,6,AL
2015-06-07,3,AL
2015-06-14,3,AL
2015-06-21,4,AL
2015-06-28,3,AL
2015-07-05,2,AL
2015-07-12,3,AL
2015-07-19,4,AL
2015-07-26,1,AL
2015-08-02,3,AL
2015-08-09,3,AL
2015-08-16,2,AL
2015-08-23,0,AL
2015-08-30,1,AL
2015-09-06,5,AL
2015-09-13,3,AL
2015-09-20,5,AL
2015-09-27,2,AL
2015-10-04,1,AL
2015-10-11,2,AL
2015-10-18,1,AL
2015-10-25,4,AL
2015-11-01,6,AL
2015-11-08,2,AL
2015-11-15,0,AL
2015-11-22,1,AL
2015-11-29,2,AL
2015-12-06,4,AL
2015-12-13,0,AL
2015-12-20,2,AL
2015-12-27,2,AL
2016-01-03,2,AL
2016-01-10,1,AL
2016-01-17,2,AL
2016-01-24,1,AL
2016-01-31,1,AL
2016-02-07,1,AL
2016-02-14,3,AL
2016-02-21,3,AL
2016-02-28,1,AL
2016-03-06,3,AL
2016-03-13,1,AL
2016-03-20,1,AL
2016-03-27,5,AL
2016-04-03,3,AL
2016-04-10,1,AL
2016-04-17,1,AL
2016-04-24,1,AL
2016-05-01,2,AL
2016-05-08,2,AL
2016-05-15,3,AL
2016-05-22,1,AL
2016-05-29,2,AL
2016-06-05,2,AL
2016-06-12,0,AL
2016-06-19,2,AL
2016-06-26,3,AL
2016-07-03,2,AL
2016-07-10,1,AL
2016-07-17,1,AL
2016-07-24,1,AL
2016-07-31,1,AL
2016-08-07,2,AL
2016-08-14,3,AL
2016-08-21,3,AL
2016-08-28,2,AL
2016-09-04,1,AL
2016-09-11,3,AL
2016-09-18,2,AL
2016-09-25,1,AL
2016-10-02,1,AL
2016-10-09,3,AL
2016-10-16,3,AL
2016-10-23,2,AL
2016-10-30,2,AL
2016-11-06,1,AL
2016-11-13,2,AL
2016-11-20,1,AL
2016-11-27,1,AL
2016-12-04,7,AL
2016-12-11,2,AL
2016-12-18,3,AL
2016-12-25,1,AL
2017-01-01,1,AL
2017-01-08,1,AL
2017-01-15,3,AL
2017-01-22,2,AL
2017-01-29,0,AL
2017-02-05,3,AL
2017-02-12,2,AL
2017-02-19,2,AL
2017-02-26,2,AL
2017-03-05,2,AL
2017-03-12,2,AL
2017-03-19,1,AL
2017-03-26,1,AL
2017-04-02,2,AL
2017-04-09,1,AL
2017-04-16,0,AL
2017-04-23,0,AL
2017-04-30,4,AL
2017-05-07,2,AL
2017-05-14,100,AL
2017-05-21,22,AL
2017-05-28,7,AL
2017-06-04,5,AL
2017-06-11,4,AL
2017-06-18,2,AL
2017-06-25,2,AL
2017-07-02,2,AL
2017-07-09,4,AL
2017-07-16,13,AL
2017-07-23,5,AL
2017-07-30,5,AL
2017-08-06,4,AL
2017-08-13,4,AL
2017-08-20,3,AL
2017-08-27,1,AL
2017-09-03,4,AL
2017-09-10,1,AL
2017-09-17,1,AL
2017-09-24,2,AL
2017-10-01,1,AL
2017-10-08,0,AL
2017-10-15,3,AL
2017-10-22,2,AL
2017-10-29,4,AL
