fips,state,year,month,civ_pop,civ_pop_working_age,percent_working_age,employed,percent_employed,unemployed,unemployment_rate,date,v1,spidersolitaire,blooddrive,brownierecipe,xbox,linkedin,candycrush,omegle,harvard,jobsnearme,pornhub,googleflights,google_unemployment,resumetemplate,stname,_merge
1,Alabama,2011,1,3716902,2217245,59.7,1990151,53.5,227094,10.2,01jan2011,0,58,22,13,59,27,0,30,75,0,45,5,98,56,Alabama,matched (3)
2,Alaska,2011,1,524325,364782,69.59999999999999,336406,64.2,28376,7.8,01jan2011,97,32,0,56,47,15,0,38,35,0,45,0,95,0,Alaska,matched (3)
4,Arizona,2011,1,4893040,3051635,62.4,2751937,56.2,299698,9.800000000000001,01jan2011,194,67,0,16,60,33,0,25,54,0,52,2,100,49,Arizona,matched (3)
5,Arkansas,2011,1,2246955,1362117,60.6,1246936,55.5,115181,8.5,01jan2011,291,21,21,28,60,35,0,14,100,0,38,0,95,53,Arkansas,matched (3)
6,California,2011,1,28804849,18363014,63.7,16142515,56,2220499,12.1,01jan2011,388,100,37,46,66,43,0,37,89,0,59,2,100,100,California,matched (3)
8,Colorado,2011,1,3894793,2726142,70,2486606,63.8,239536,8.800000000000001,01jan2011,485,55,22,92,61,31,0,32,89,0,56,3,100,74,Colorado,matched (3)
9,Connecticut,2011,1,2820730,1921839,68.09999999999999,1744160,61.8,177679,9.199999999999999,01jan2011,582,46,52,51,58,40,0,52,76,0,58,2,100,30,Connecticut,matched (3)
10,Delaware,2011,1,707737,439961,62.2,405199,57.3,34762,7.9,01jan2011,776,100,0,0,55,33,0,38,65,0,55,0,86,38,Delaware,matched (3)
11,District of Columbia,2011,1,511311,349321,68.3,315627,61.7,33694,9.6,01jan2011,679,69,41,16,45,27,0,49,71,0,53,0,70,37,District of Columbia,matched (3)
12,Florida,2011,1,15114858,9283526,61.4,8292155,54.9,991371,10.7,01jan2011,873,66,38,43,66,40,0,31,90,0,63,2,96,83,Florida,matched (3)
13,Georgia,2011,1,7343423,4711909,64.2,4216993,57.4,494916,10.5,01jan2011,970,49,18,42,68,44,0,39,89,0,56,1,92,67,Georgia,matched (3)
15,Hawaii,2011,1,1050810,660878,62.9,616210,58.6,44668,6.8,01jan2011,1067,76,0,40,61,31,0,51,46,0,60,0,78,11,Hawaii,matched (3)
16,Idaho,2011,1,1173091,761874,64.90000000000001,695383,59.3,66491,8.699999999999999,01jan2011,1164,29,0,60,63,16,0,18,56,0,36,6,100,47,Idaho,matched (3)
17,Illinois,2011,1,9927291,6573539,66.2,5952822,60,620717,9.4,01jan2011,1261,73,54,68,60,46,0,45,83,0,57,0,100,37,Illinois,matched (3)
18,Indiana,2011,1,4988647,3158887,63.3,2869164,57.5,289723,9.199999999999999,01jan2011,1358,74,24,64,65,34,0,40,95,0,45,5,100,29,Indiana,matched (3)
19,Iowa,2011,1,2369608,1676439,70.7,1580360,66.7,96079,5.7,01jan2011,1455,51,0,32,53,21,0,24,46,0,44,0,100,100,Iowa,matched (3)
20,Kansas,2011,1,2156631,1497002,69.40000000000001,1393260,64.59999999999999,103742,6.9,01jan2011,1552,67,0,31,63,47,0,43,61,0,36,5,100,64,Kansas,matched (3)
21,Kentucky,2011,1,3361963,2060919,61.3,1858039,55.3,202880,9.800000000000001,01jan2011,1649,100,25,35,59,33,0,38,43,2,45,0,100,33,Kentucky,matched (3)
22,Louisiana,2011,1,3463212,2082966,60.1,1910437,55.2,172529,8.300000000000001,01jan2011,1746,50,40,38,68,28,0,53,73,0,53,10,90,62,Louisiana,matched (3)
23,Maine,2011,1,1077343,697917,64.8,641581,59.6,56336,8.1,01jan2011,1843,56,33,0,64,14,0,77,74,0,49,0,100,13,Maine,matched (3)
24,Maryland,2011,1,4530894,3090479,68.2,2862249,63.2,228230,7.4,01jan2011,1940,100,47,9,62,37,0,50,72,0,57,3,85,13,Maryland,matched (3)
25,Massachusetts,2011,1,5271497,3474410,65.90000000000001,3205064,60.8,269346,7.8,01jan2011,2037,72,100,43,61,44,0,61,87,0,61,2,80,21,Massachusetts,matched (3)
26,Michigan,2011,1,7740472,4701777,60.7,4183976,54.1,517801,11,01jan2011,2134,100,32,47,60,46,0,44,78,0,49,4,100,39,Michigan,matched (3)
27,Minnesota,2011,1,4134646,2941435,71.09999999999999,2737393,66.2,204042,6.9,01jan2011,2231,80,33,21,58,39,0,37,92,0,51,2,100,77,Minnesota,matched (3)
28,Mississippi,2011,1,2240757,1345507,60,1209251,54,136256,10.1,01jan2011,2328,56,0,52,55,24,0,43,82,0,43,0,98,16,Mississippi,matched (3)
29,Missouri,2011,1,4639278,3057319,65.90000000000001,2774185,59.8,283134,9.300000000000001,01jan2011,2425,49,63,19,61,36,0,45,97,0,43,6,100,94,Missouri,matched (3)
30,Montana,2011,1,781787,500012,64,463453,59.3,36559,7.3,01jan2011,2522,100,0,32,44,30,0,19,26,0,43,0,100,20,Montana,matched (3)
31,Nebraska,2011,1,1395581,997569,71.5,952553,68.3,45016,4.5,01jan2011,2619,45,82,40,56,35,0,27,100,0,45,5,100,62,Nebraska,matched (3)
32,Nevada,2011,1,2084475,1368322,65.59999999999999,1183161,56.8,185161,13.5,01jan2011,2716,74,28,20,68,41,0,45,61,0,54,3,100,40,Nevada,matched (3)
33,New Hampshire,2011,1,1056804,735798,69.59999999999999,696173,65.90000000000001,39625,5.4,01jan2011,2813,21,55,0,64,31,0,32,82,0,49,0,100,28,New Hampshire,matched (3)
34,New Jersey,2011,1,6900649,4555359,66,4125018,59.8,430341,9.4,01jan2011,2910,69,50,30,67,39,0,50,77,0,62,1,92,31,New Jersey,matched (3)
